SIMUl,149.86,2300,P|63-m-1,P|66-l-0,P|63,P|66,380,22-Oct-2020 08:00:07.600
SIMUl,149.86,1935,P|63-m-1,P|25-l-0,P|63,P|25,380,22-Oct-2020 08:00:07.600
SIMUl,149.74,582,P|18-l-0,P|98-m-0,P|18,P|98,428,22-Oct-2020 08:00:08.560
SIMUl,149.76,2475,P|27-l-0,P|42-m-1,P|27,P|42,1021,22-Oct-2020 08:00:20.420
SIMUl,149.84,21,P|5-m-0,P|42-l-0,P|5,P|42,1078,22-Oct-2020 08:00:21.560
SIMUl,149.76,2709,P|24-l-1,P|92-m-0,P|24,P|92,1200,22-Oct-2020 08:00:24.000
SIMUl,149.84,1653,P|8-m-1,P|24-l-0,P|8,P|24,1513,22-Oct-2020 08:00:30.260
SIMUl,149.84,400,P|19-m-0,P|24-l-0,P|19,P|24,1577,22-Oct-2020 08:00:31.540
SIMUl,149.82,1114,P|7-m-1,P|68-l-1,P|7,P|68,1715,22-Oct-2020 08:00:34.300
SIMUl,149.76,1,TEST_BARCl_000,P|82-m-0,S-Alg00,P|82,1946,22-Oct-2020 08:00:38.920
SIMUl,149.82,1114,P|67-m-0,P|68-l-1,P|67,P|68,2047,22-Oct-2020 08:00:40.940
SIMUl,149.84,1380,P|67-m-0,P|40-l-1,P|67,P|40,2047,22-Oct-2020 08:00:40.940
SIMUl,149.84,1522,P|69-m-0,P|99-l-0,P|69,P|99,2117,22-Oct-2020 08:00:42.340
SIMUl,149.82,2810,P|70-m-0,P|96-l-0,P|70,P|96,2434,22-Oct-2020 08:00:48.680
SIMUl,149.78,2000,P|33-l-0,P|40-m-2,P|33,P|40,2707,22-Oct-2020 08:00:54.140
SIMUl,149.78,3954,P|60-l-0,P|25-m-1,P|60,P|25,2904,22-Oct-2020 08:00:58.080
SIMUl,149.86,300,P|33-m-1,P|40-l-0,P|33,P|40,3163,22-Oct-2020 08:01:03.260
SIMUl,149.86,384,P|33-m-1,P|91-l-0,P|33,P|91,3163,22-Oct-2020 08:01:03.260
SIMUl,149.78,2481,P|86-l-0,P|80-m-0,P|86,P|80,3810,22-Oct-2020 08:01:16.200
SIMUl,149.86,500,P|90-m-2,P|91-l-0,P|90,P|91,5148,22-Oct-2020 08:01:42.960
SIMUl,149.8,2500,P|26-l-2,P|86-m-1,P|26,P|86,5742,22-Oct-2020 08:01:54.840
SIMUl,149.8,2400,P|8-l-3,P|31-m-0,P|8,P|31,5801,22-Oct-2020 08:01:56.020
SIMUl,149.78,2613,P|22-l-1,P|2-m-1,P|22,P|2,6404,22-Oct-2020 08:02:08.080
SIMUl,149.86,2505,P|65-m-0,P|7-l-2,P|65,P|7,6787,22-Oct-2020 08:02:15.740
SIMUl,149.86,123,P|65-m-0,P|63-l-2,P|65,P|63,6787,22-Oct-2020 08:02:15.740
SIMUl,149.86,1,P|43-m-0,P|63-l-2,P|43,P|63,8448,22-Oct-2020 08:02:48.960
SIMUl,149.88,337,P|63-m-3,P|18-l-2,P|63,P|18,11130,22-Oct-2020 08:03:42.600
SIMUl,149.88,1203,P|63-m-3,P|21-l-0,P|63,P|21,11130,22-Oct-2020 08:03:42.600
SIMUl,149.9,2515,P|63-m-3,P|40-l-3,P|63,P|40,11130,22-Oct-2020 08:03:42.600
SIMUl,149.96,1437,P|63-m-3,P|35-l-0,P|63,P|35,11130,22-Oct-2020 08:03:42.600
SIMUl,149.88,1203,P|83-m-1,P|71-l-0,P|83,P|71,12261,22-Oct-2020 08:04:05.220
SIMUl,149.86,2000,P|15-l-3,P|62-m-0,P|15,P|62,12557,22-Oct-2020 08:04:11.140
SIMUl,149.94,1163,P|53-m-1,P|54-l-1,P|53,P|54,12972,22-Oct-2020 08:04:19.440
